id	hero	house	levelup	wifenum	idiom	word	posx	posy	answer	
11	2	2	3	0	花言巧语,言外之意,道听途说,语重心长,心烦意乱,乱作一团,说来话长,来龙去脉,灵机一动	花,言,巧,语,道,语,外,听,重,之,途,心,烦,意,乱,说,来,话,长,作,龙,灵,机,一,动,去,团,脉	5,6,7,8,1,4,6,1,4,6,1,4,5,6,7,1,2,3,4,7,2,5,6,7,8,2,7,2	7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0	1,3,6,8,10,11,13,15,17,19,20,21,24,26,27	
12	2	2	4	1	弥天大谎,名存实亡,呆若木鸡,大智若愚,自立门户,自取灭亡,灭门绝户,金鸡独立,足不出户	弥,名,天,呆,存,大,智,若,愚,实,谎,木,自,取,灭,亡,金,鸡,独,立,门,门,绝,足,不,出,户,户	1,8,1,3,8,1,2,3,4,8,1,3,5,6,7,8,2,3,4,5,7,5,7,2,3,4,5,7	7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,1,1,1,1,1	5,7,9,10,11,14,15,16,18,21,22,23,26	
13	2	2	4	1	功德圆满,蔚然成风,三从四德,从容自如,满面春风,春暖花开,恩怨分明,恩重如山,鸟语花香,明哲保身	功,蔚,三,从,四,德,然,容,圆,成,自,满,面,春,风,恩,重,如,山,暖,怨,鸟,语,花,香,分,开,明,哲,保,身	5,8,2,3,4,5,8,3,5,8,3,5,6,7,8,1,2,3,4,7,1,5,6,7,8,1,7,1,2,3,4	7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0	3,5,6,11,13,14,16,17,20,21,23,24,27,28	
14	2	2	4	1	俯首帖耳,耳聪目明,勾心斗角,遮人耳目,人山人海,挂一漏万,明争暗斗,争先恐后,一表人才,前赴后继	俯,首,帖,耳,聪,勾,遮,人,耳,目,心,挂,山,明,争,暗,斗,一,表,人,才,先,角,漏,海,恐,万,前,赴,后,继	2,3,4,5,5,8,2,3,4,5,8,1,3,5,6,7,8,1,2,3,4,6,8,1,3,6,1,4,5,6,7	7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1,1	1,3,4,5,7,9,10,12,14,15,17,18,26,28,29	
15	2	2	4	1	金玉满堂,不辞而别,不堪入目,目中无人,严于律己,满载而归,损人利己,利欲熏心,胆大包天,包藏祸心,手眼通天	金,不,堪,入,目,严,玉,辞,中,于,满,载,而,归,无,律,堂,别,损,人,利,己,胆,欲,大,熏,包,藏,祸,心,手,眼,通,天	1,3,4,5,6,8,1,3,6,8,1,2,3,4,6,8,1,3,5,6,7,8,4,7,4,7,4,5,6,7,1,2,3,4	7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,2,2,1,1,1,1,0,0,0,0	1,2,5,8,9,10,12,13,16,18,19,23,26,29,32,33	
16	2	2	4	1	张三李四,四面八方,刻骨铭心,洞天福地,天各一方,一败涂地,死气沉沉,死心塌地,兼容并包,无地自容,沉默寡言	张,三,李,四,面,刻,洞,八,骨,天,各,一,方,铭,福,败,死,心,塌,地,涂,兼,气,无,地,自,容,沉,默,寡,言,并,沉,包	4,5,6,7,7,2,4,7,2,4,5,6,7,2,4,6,1,2,3,4,6,8,1,5,6,7,8,1,2,3,4,8,1,8	8,8,8,8,7,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0	1,3,5,6,7,10,11,13,18,19,20,22,25,26,28,29,31,32	
17	3	2	5	1	无法无天,法出一门,春兰秋菊,春暖花开,秋收冬藏,藏龙卧虎,邪门歪道,歪打正着,寿山福海,寿终正寝,放虎归山,天南海北	无,法,无,天,春,暖,花,开,出,兰,一,秋,收,冬,藏,邪,门,歪,道,菊,龙,打,卧,寿,终,正,寝,放,虎,归,山,着,福,天,南,海,北	5,6,7,8,0,1,2,3,6,0,6,0,1,2,3,5,6,7,8,0,3,7,3,5,6,7,8,2,3,4,5,7,5,3,4,5,6	8,8,8,8,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,1,0,0,0,0	0,3,4,7,8,10,11,14,17,18,20,21,23,26,28,29,34,35	
18	3	2	5	1	泪流满面,面目全非,目中无人,无所不能,格物致知,年事已高,物是人非,人才辈出,不可一世,不能自已,盖世英雄	泪,流,满,面,目,中,无,人,格,全,所,年,物,是,人,非,不,事,致,才,不,能,自,已,知,辈,可,高,出,一,盖,世,英,雄	1,2,3,4,4,5,6,7,1,4,6,8,1,2,3,4,6,8,1,3,5,6,7,8,1,3,5,8,3,5,4,5,6,7	7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,1,1,0,0,0,0	1,2,4,6,8,9,12,14,16,17,19,20,23,26,30,31	
19	3	2	5	1	遮人耳目,人之常情,恩重如山,梦寐以求,情深义重,深仇大恨,惺惺相惜,如愿以偿,相逢恨晚	遮,人,耳,目,之,常,恩,梦,情,深,义,重,寐,惺,仇,如,愿,以,偿,惺,大,山,求,相,逢,恨,晚,惜	1,2,3,4,2,2,5,7,2,3,4,5,7,1,3,5,6,7,8,1,3,5,7,1,2,3,4,1	7,7,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0	0,1,2,4,6,7,8,10,13,14,15,17,18,23,24,25	
20	3	2	5	1	飞蛾投火,决一死战,一举成名,投机倒把,把持不定,功成身退,功名富贵,富国强民,约法三章,约定俗成,狡兔三窟	飞,蛾,决,一,死,战,投,机,倒,把,举,火,持,成,不,功,名,富,贵,约,定,俗,成,国,法,身,强,狡,兔,三,窟,退,民,章	0,0,5,6,7,8,0,1,2,3,6,0,3,6,3,5,6,7,8,2,3,4,5,7,2,5,7,0,1,2,3,5,7,2	8,7,7,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,0	0,1,3,4,7,9,15,16,19,20,21,26,27,29,31,32	
21	3	2	5	1	一盘散沙,一板一眼,眼花缭乱,云淡风轻,云消雾散,羊落虎口,风刀霜剑,一笔勾销,从容应对,从轻发落,捉刀代笔,口蜜腹剑	一,板,一,眼,盘,花,云,消,雾,散,缭,淡,沙,乱,风,羊,风,一,从,轻,发,落,捉,刀,代,笔,容,虎,霜,勾,应,口,蜜,腹,剑,销,对	4,5,6,7,4,7,1,2,3,4,7,1,4,7,1,3,6,8,0,1,2,3,5,6,7,8,0,3,6,8,0,3,4,5,6,8,0	8,8,8,8,7,7,6,6,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0	1,2,3,4,6,7,10,12,14,18,21,23,25,26,31,33,34,35	
22	3	2	5	1	一本万利,一触即发,缺一不可,一字长城,万紫千红,千门万户,鸣金收兵,半夜三更,万里长城,长命百岁,夜不闭户,百万雄兵	一,触,即,发,本,缺,一,不,可,万,紫,千,红,字,利,门,长,鸣,半,万,里,长,城,金,夜,不,闭,户,命,收,三,百,万,雄,兵,更,岁	1,2,3,4,1,5,6,7,8,1,2,3,4,6,1,3,6,8,0,3,4,5,6,8,0,1,2,3,5,8,0,5,6,7,8,0,5	8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1	0,1,5,7,9,11,13,18,20,21,22,23,26,27,29,30,31,32	
23	3	2	5	1	杜绝后患,绝处逢生,唇亡齿寒,生死存亡,死得其所,闭月羞花,邪不压正,寒冬腊月,不出所料	杜,绝,后,患,处,逢,唇,生,死,存,亡,得,齿,闭,邪,其,寒,冬,腊,月,不,出,所,料,羞,压,花,正	1,2,3,4,2,2,5,2,3,4,5,3,5,8,1,3,5,6,7,8,1,2,3,4,8,1,8,1	8,8,8,8,7,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,0	0,1,3,7,10,11,16,19,20,22,24,27	
24	3	3	6	1	丢三落四,三生有幸,万语千言,有说有笑,有求必应,广开言路,开卷有益,路不拾遗,应有尽有	丢,三,落,四,万,生,语,有,说,有,笑,千,幸,求,广,开,言,路,必,卷,不,应,有,尽,有,拾,益,遗	0,1,2,3,7,1,7,1,2,3,4,7,1,3,5,6,7,8,3,6,8,3,4,5,6,8,6,8	7,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1	1,5,6,7,9,15,16,18,20,22,23,25,26	
25	3	3	6	1	望子成龙,望尘莫及,真命天子,昂首挺胸,青出于蓝,群策群力,群龙无首,出谋划策,心力憔悴	望,尘,莫,及,真,命,天,子,成,昂,青,群,龙,无,首,出,谋,划,策,挺,于,群,胸,蓝,心,力,憔,悴	5,6,7,8,2,3,4,5,5,7,1,4,5,6,7,1,2,3,4,7,1,4,7,1,3,4,5,6	7,7,7,7,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1	0,2,5,6,10,12,14,15,18,19,24,25	
26	3	3	6	1	其貌不扬,不以为意,拍案叫绝,绝无仅有,无所不为,寸步不离,寸有所长,长吁短叹,坐地分赃,分崩离析	其,貌,不,扬,拍,案,叫,绝,以,无,所,不,为,仅,意,寸,有,所,长,坐,步,吁,地,不,短,分,崩,离,析,叹,赃	5,6,7,8,1,2,3,4,7,4,5,6,7,4,7,3,4,5,6,1,3,6,1,3,6,1,2,3,4,6,1	8,8,8,8,7,7,7,7,7,6,6,6,6,5,5,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,0	2,3,4,5,8,10,11,13,15,16,18,24,25,27,30	
27	3	3	6	1	众所周知,各尽所能,各得其所,筋疲力尽,欲盖弥彰,欲罢不能,不分彼此,十面埋伏,人面桃花,此起彼伏	众,各,得,其,所,筋,疲,力,尽,周,所,知,欲,罢,不,能,十,盖,分,人,面,桃,花,弥,彼,埋,彰,此,起,彼,伏	7,4,5,6,7,1,2,3,4,7,4,7,1,2,3,4,6,1,3,5,6,7,8,1,3,6,1,3,4,5,6	7,6,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,0,0,0	0,1,2,4,7,8,13,15,17,18,20,21,25,26,27,29	
28	3	3	6	1	徒有虚名,新来乍到,亘古未有,一举成名,成年累月,手到擒来,来日方长,日积月累	徒,新,亘,古,未,有,来,虚,乍,一,举,成,名,手,到,擒,来,年,日,积,月,累,方,月,长	8,2,5,6,7,8,2,8,2,5,6,7,8,1,2,3,4,7,4,5,6,7,4,7,4	7,6,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,0	2,5,6,9,11,12,13,14,18,19,21,22	
29	3	3	6	1	欺上瞒下,瞒天过海,一针见血,桃园结义,大放厥词,大海捞针,飞黄腾达,热血沸腾,义正词严	欺,上,瞒,下,天,过,一,桃,大,海,捞,针,飞,园,放,见,黄,结,厥,热,血,沸,腾,义,正,词,严,达	1,2,3,4,3,3,5,0,2,3,4,5,7,0,2,5,7,0,2,4,5,6,7,0,1,2,3,7	7,7,7,7,6,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1	2,3,4,7,9,11,17,18,20,22,25,26,27	
30	3	3	6	1	移花接木,闭月羞花,呼天抢地,天之骄子,花容月貌,花花公子,花言巧语,难能可贵,细水长流,熟能生巧,语重心长	移,闭,呼,天,抢,地,花,容,月,貌,之,接,羞,骄,木,花,花,公,子,难,言,细,熟,能,生,巧,水,可,语,重,心,长,贵,流	1,3,5,6,7,8,1,2,3,4,6,1,3,6,1,3,4,5,6,2,4,7,1,2,3,4,7,2,4,5,6,7,2,7	7,7,7,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0	0,1,3,5,6,7,8,11,16,17,18,21,23,24,25,26,27,28,30,33	
31	3	3	6	1	直截了当,直捣黄龙,龙马精神,文山会海,迎刃而解,迎神赛会,平分秋色,尸位素餐,难解难分,秀色可餐	直,捣,黄,龙,截,马,文,了,精,山,当,迎,神,赛,会,刃,海,而,平,尸,难,解,难,分,位,秋,素,秀,色,可,餐	1,2,3,4,1,4,6,1,4,6,1,3,4,5,6,3,6,3,5,7,2,3,4,5,7,5,7,4,5,6,7	8,8,8,8,7,7,7,6,6,6,5,5,5,5,5,4,4,3,3,3,2,2,2,2,2,1,1,0,0,0,0	0,2,3,4,6,12,14,15,18,20,21,23,26,28,30	
32	3	3	6	1	雍容华贵,容光焕发,徐娘半老,三省吾身,三更半夜,发人深省,人言可畏,身外之物,外方内圆,无所畏惧,内忧外患,字正腔圆	雍,容,华,贵,徐,光,娘,焕,三,更,半,夜,发,人,深,省,老,言,吾,可,身,外,之,物,无,所,畏,惧,方,内,忧,外,患,字,正,腔,圆	0,1,2,3,6,1,6,1,4,5,6,7,1,2,3,4,6,2,4,2,4,5,6,7,0,1,2,3,5,5,6,7,8,2,3,4,5	8,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0	1,2,3,6,7,9,10,12,14,15,17,19,20,21,25,27,29,31,33,35,36	
33	3	3	7	2	大好河山,好自为之,风吹雨打,风雨如晦,汗流浃背,汗如雨下,付之东流,腹心之疾,腹背受敌,疾恶如仇	大,好,河,山,风,雨,如,晦,自,吹,为,汗,如,雨,下,付,之,东,流,打,浃,腹,背,受,敌,心,之,疾,恶,如,仇	0,1,2,3,5,6,7,8,1,5,1,3,4,5,6,0,1,2,3,5,3,2,3,4,5,2,2,2,3,4,5	8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,4,3,3,3,3,2,1,0,0,0,0	0,1,6,7,9,10,13,17,18,21,22,24,26,27,28	
34	3	3	7	2	妄自菲薄,自鸣得意,对酒当歌,情深义重,意味深长,不进则退,高山峻岭,高歌猛进,恩重如山,翻山越岭	妄,自,菲,薄,鸣,对,得,情,酒,意,味,深,长,当,不,义,高,歌,猛,进,恩,重,如,山,则,峻,退,翻,山,越,岭	0,1,2,3,1,6,1,3,6,1,2,3,4,6,8,3,5,6,7,8,2,3,4,5,8,5,8,2,3,4,5	7,7,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0	2,3,6,8,9,10,11,16,17,19,20,21,25,26,28,29	
35	3	3	7	2	横扫千军,扫地出门,默不作声,言归正传,千锤百炼,千门万户,万事大吉,正经八百,大放悲声,悲天悯人,不得人心	横,扫,千,军,地,出,默,言,千,门,万,户,不,归,锤,事,作,正,经,八,百,大,放,悲,声,传,炼,吉,天,悯,不,得,人,心	3,4,5,6,4,4,8,0,3,4,5,6,8,0,3,5,8,0,1,2,3,5,6,7,8,0,3,5,7,7,5,6,7,8	8,8,8,8,7,6,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,1,0,0,0,0	0,1,4,6,9,10,12,14,17,20,21,23,25,26,31,32	
36	3	3	7	2	势如水火,放火烧山,水深火热,六神无主,泰然处之,泰山压顶,顶天立地,人言可畏,独立自主,可乘之机	势,如,放,水,深,火,热,火,烧,六,泰,山,压,顶,神,人,然,天,无,言,处,独,立,自,主,可,乘,之,机,地,畏	2,2,4,2,3,4,5,2,4,8,3,4,5,6,8,1,3,6,8,1,3,5,6,7,8,1,2,3,4,6,1	8,7,7,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0	3,5,6,7,11,12,14,15,16,17,19,23,24,26,27,29	
37	3	3	7	2	拳打脚踢,脚踏实地,言过其实,过江之鲫,地大物博,大有可观,乘风破浪,乘人之危,浪迹天涯	拳,打,脚,踢,踏,言,过,其,实,江,地,大,物,博,乘,人,之,危,有,风,鲫,可,破,观,浪,迹,天,涯	3,4,5,6,5,2,3,4,5,3,5,6,7,8,1,2,3,4,6,1,3,6,1,6,1,2,3,4	7,7,7,7,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,0,0,0,0	0,2,3,6,8,11,13,14,16,17,20,21,22,23,24,25	
38	3	3	7	2	妄自尊大,刚愎自用,凌云之志,能者多劳,大步流星,步步登高,之乎者也,劳苦功高	妄,刚,愎,自,用,凌,尊,云,能,大,步,流,星,之,乎,者,也,步,志,多,登,劳,苦,功,高	5,3,4,5,6,1,5,1,3,5,6,7,8,1,2,3,4,6,1,3,6,3,4,5,6	7,6,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1	2,3,7,9,12,14,16,17,18,19,22	
39	3	3	7	2	吃里扒外,一举成名,一日千里,外柔内刚,内外交困,不肖子孙,不名一文,一语道破,风雪交加,破门而入	吃,一,日,千,里,举,扒,成,外,柔,内,刚,不,名,一,文,外,肖,语,风,雪,交,加,子,道,困,孙,破,门,而,入	5,2,3,4,5,2,5,2,5,6,7,8,1,2,3,4,7,1,3,5,6,7,8,1,3,7,1,3,4,5,6	7,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,0,0,0	1,2,6,7,10,11,13,15,19,21,23,24,25,26,27,29	
40	3	3	7	2	一年半载,一触即发,发扬光大,情深义重,博采众长,博大精深,开山鼻祖,血气方刚,恩重如山,气贯长虹,光宗耀祖,刚正不阿	一,触,即,发,年,扬,半,光,情,载,博,大,精,深,采,义,开,血,众,恩,重,如,山,气,贯,长,虹,鼻,方,光,宗,耀,祖,刚,正,不,阿	1,2,3,4,1,4,1,4,6,1,3,4,5,6,3,6,8,1,3,5,6,7,8,1,2,3,4,8,1,5,6,7,8,1,2,3,4	8,8,8,8,7,7,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0	1,3,4,7,8,9,10,11,12,14,19,20,22,23,25,26,27,29,30,32,33,34,35	
41	3	3	7	2	名垂千古,名震一时,时来运转,日进斗金,日行千里,潜移默化,斗转星移,登堂入室,金玉满堂,入木三分,引狼入室	名,震,一,时,垂,来,日,行,千,里,运,潜,进,古,斗,转,星,移,斗,登,默,金,玉,满,堂,化,入,木,三,分,引,狼,入,室	3,4,5,6,3,6,1,2,3,4,6,8,1,3,5,6,7,8,1,4,8,1,2,3,4,8,4,5,6,7,1,2,3,4	7,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0	1,3,4,5,6,7,11,12,13,16,17,19,23,26,28,29,32,33	
42	3	3	7	2	像模像样,不可名状,不落俗套,模棱两可,名落孙山,山南海北,出人意料,天下无双,天涯海角,寄人篱下,难以预料,双管齐下	像,不,落,俗,套,模,棱,两,可,像,名,落,孙,山,样,状,南,出,天,涯,海,角,寄,人,篱,下,北,意,无,难,以,预,料,双,管,齐,下	1,4,5,6,7,1,2,3,4,1,4,5,6,7,1,4,7,3,5,6,7,8,2,3,4,5,7,3,5,0,1,2,3,5,6,7,8	8,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1	1,3,5,8,9,12,13,18,20,23,25,26,31,32,34,36	
43	3	3	7	2	冰天雪地,天寒地冻,地大物博,忍俊不禁,铺天盖地,天经地义,不毛之地,义正词严,词不达意,草菅人命,达官贵人,诗情画意	冰,天,雪,地,寒,大,忍,铺,天,盖,地,物,俊,经,冻,博,不,毛,之,地,禁,义,正,词,严,草,不,菅,达,官,贵,人,诗,情,画,意,命	4,5,6,7,5,7,0,2,3,4,5,7,0,3,5,7,0,1,2,3,0,3,4,5,6,8,5,8,5,6,7,8,2,3,4,5,8	8,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0	0,2,9,10,11,12,13,14,15,17,20,21,23,25,28,31,33,35	
44	3	3	7	2	爱不释手,爱屋及乌,气壮山河,山光水色,举棋不定,举手投足,拖泥带水,泥古不化,不得人心,心怀鬼胎,怀才不遇	爱,屋,及,乌,不,释,气,壮,山,河,举,手,投,足,光,棋,拖,泥,带,水,不,得,人,心,古,色,定,怀,才,不,遇,鬼,化,胎	1,2,3,4,1,1,5,6,7,8,0,1,2,3,7,0,4,5,6,7,0,1,2,3,5,7,0,3,4,5,6,3,5,3	8,8,8,8,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,0	0,1,4,6,8,10,11,16,17,19,20,21,27,29,31,33	
45	4	3	8	2	温故知新,一席之地,一无所有,有勇无谋,殚精竭虑,知遇之恩,深谋远虑,远走高飞,寸步不离,步步登高,曲不离口	温,一,无,所,有,殚,故,席,勇,精,知,遇,之,恩,无,竭,新,地,深,谋,远,虑,寸,走,步,步,登,高,不,飞,曲,不,离,口	1,3,4,5,6,8,1,3,6,8,1,2,3,4,6,8,1,3,5,6,7,8,4,7,4,5,6,7,4,7,2,3,4,5	7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,2,2,2,2,1,1,0,0,0,0	0,1,3,5,8,9,10,12,18,19,24,26,27,29,30,32	
46	4	3	8	2	和衷共济,言不由衷,不足挂齿,爱憎分明,爱财如命,唇齿相依,唇亡齿寒,寒来暑往,明眸皓齿,小鸟依人	和,言,不,由,衷,爱,财,如,命,足,共,憎,挂,济,分,唇,亡,齿,寒,明,眸,皓,齿,来,相,暑,小,鸟,依,人,往	8,5,6,7,8,1,2,3,4,6,8,1,6,8,1,4,5,6,7,1,2,3,4,7,4,7,2,3,4,5,7	7,6,6,6,6,5,5,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0,0	1,2,4,5,8,12,13,15,16,18,19,21,22,25,28,29	
47	4	3	8	2	大海捞针,闭门思过,门当户对,过目不忘,山重水复,山南海北,针锋相对,相形见绌,司空见惯	大,闭,门,思,过,山,南,海,北,当,目,重,捞,户,不,水,针,锋,相,对,忘,复,形,司,空,见,惯,绌	3,5,6,7,8,1,2,3,4,6,8,1,3,6,8,1,3,4,5,6,8,1,5,3,4,5,6,5	7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,2,2,2,2,1	1,2,5,7,12,13,14,15,18,19,20,25,26,27	
48	4	3	8	2	丢三落四,横七竖八,事不过三,掷地有声,春风满面,四平八稳,平分秋色,有伤风化,面不改色	丢,横,事,不,过,三,七,掷,落,竖,地,春,四,平,八,稳,有,伤,风,化,分,声,满,秋,面,不,改,色	5,7,2,3,4,5,7,1,5,7,1,3,5,6,7,8,1,2,3,4,6,1,3,6,3,4,5,6	7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1	0,1,2,3,8,9,10,13,15,16,18,19,22,23,26,27	
